
堵转电压   24.363960
堵转电流   2.363960
电机电阻   10.3064188200 0   0.0000   0   0   0.0000   0   0   

0.0000   0   0   0.0000   0   0   0.0000   0   0   

216     I   +   062   III   +   020    IV   +   

238     I   +   102   III   +   100    IV   +   

353     I   +   332   III   +   000    IV   +   

216     I   +   054   III   +   100    IV   +   

059     I   +   092   III   +   280    IV   +   

058     I   +   078   III   +   380    IV   +   

288     I   +   170   III   +   220    IV   +   

164     I   +   282   III   +   180    IV   +   

036     I   +   014   III   +   140    IV   +   

148     I   +   238   III   +   380    IV   +   

183     I   +   280   III   +   160    IV   +   

206     I   +   254   III   +   140    IV   +   

038     I   +   178   III   +   220    IV   +   
